json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
3.3984,0.4563,-0.044004,0.4563,200.877,0.0075,
1.6987,0.4819,-0.064152,0.4819,201.359,0.0256,
-0.6638,0.5222,-0.082076,0.5222,201.881,0.0403,
-1.1675,0.5527,-0.074716,0.5527,202.434,0.0305,
-1.6156,0.5798,-0.073484,0.5798,203.014,0.0271,
-1.4316,0.6016,-0.069928,0.6016,203.615,0.0218,
-1.4008,0.62,-0.068,0.62,204.236,0.0184,
-1.3119,0.6241,-0.054028,0.6241,204.86,0.0041,
-1.2637,0.6545,-0.08276,0.6545,205.514,0.0304,
-0.9144,0.7209,-0.124072,0.7209,206.235,0.0664,
-1.6327,0.8133,-0.157464,0.8133,207.048,0.0924,
-2.6655,0.8909,-0.148872,0.8909,207.939,0.0776,
-3.5003,0.9486,-0.133588,0.9486,208.888,0.0577,
-3.2855,0.9891,-0.119628,0.9891,209.877,0.0405,
-2.9034,0.9902,-0.080316,0.9902,210.867,0.0011,
-2.5544,0.9658,-0.052864,0.9658,211.833,-0.0244,
-1.5716,0.9174,-0.024992,0.9174,212.75,-0.0484,
-0.8853,0.82,0.0318,0.82,213.57,-0.0974,
-0.1885,0.726,0.03592,0.726,214.296,-0.094,
1.2313,0.62,0.0564,0.62,214.916,-0.106,
1.3343,0.5067,0.072764,0.5067,215.423,-0.1133,
1.8463,0.3906,0.084852,0.3906,215.814,-0.1161,
2.2554,0.2404,0.130968,0.2404,216.054,-0.1502,
2.5576,0.1888,0.036496,0.1888,216.243,-0.0516,
3.7105,0.1767,-0.002036,0.1767,216.419,-0.0121,
1.3487,0.1977,-0.036816,0.1977,216.617,0.021,
0.3854,0.2298,-0.050484,0.2298,216.847,0.0321,
-0.4841,0.2841,-0.077028,0.2841,217.131,0.0543,
-0.8258,0.3303,-0.072624,0.3303,217.461,0.0462,
-1.4894,0.3771,-0.076968,0.3771,217.838,0.0468,
-1.3793,0.422,-0.07866,0.422,218.26,0.0449,
-1.4879,0.4628,-0.077824,0.4628,218.723,0.0408,
-1.5302,0.4974,-0.074392,0.4974,219.221,0.0346,
-1.5093,0.5312,-0.076296,0.5312,219.752,0.0338,
-1.4235,0.5457,-0.058156,0.5457,220.298,0.0145,
-1.4711,0.5495,-0.04776,0.5495,220.847,0.0038,
-1.0176,0.5427,-0.036616,0.5427,221.39,-0.0068,
-0.7577,0.5257,-0.025056,0.5257,221.915,-0.017,
-0.4791,0.4886,-0.001988,0.4886,222.404,-0.0371,
-0.1901,0.4512,0.001304,0.4512,222.855,-0.0374,
0.3866,0.4079,0.010668,0.4079,223.263,-0.0433,
0.4689,0.3605,0.01856,0.3605,223.624,-0.0474,
0.703,0.2942,0.042764,0.2942,223.918,-0.0663,
0.9003,0.2444,0.030248,0.2444,224.162,-0.0498,
1.5054,0.5207,-0.317956,0.5207,224.683,0.2763,
1.1925,0.5429,-0.065632,0.5429,225.226,0.0222,
-7.5126,0.4298,0.078716,0.4298,225.656,-0.1131,
-1.2045,0.4605,-0.06754,0.4605,226.116,0.0307,
2.4042,0.5458,-0.128964,0.5458,226.662,0.0853,
-1.2522,0.5851,-0.086108,0.5851,227.247,0.0393,
-2.7878,0.6438,-0.110204,0.6438,227.891,0.0587,
-1.7164,0.6692,-0.078936,0.6692,228.56,0.0254,
-2.3188,0.6774,-0.062392,0.6774,229.238,0.0082,
-1.5371,0.6681,-0.044148,0.6681,229.906,-0.0093,
-1.1235,0.6303,-0.012624,0.6303,230.536,-0.0378,
-0.6674,0.5847,-0.001176,0.5847,231.121,-0.0456,
0.1207,0.5271,0.015432,0.5271,231.648,-0.0576,
0.4069,0.4605,0.02976,0.4605,232.108,-0.0666,
0.8221,0.3878,0.041676,0.3878,232.496,-0.0727,
1.1803,0.2867,0.078164,0.2867,232.783,-0.1011,
1.4782,0.2117,0.058064,0.2117,232.994,-0.075,
2.3904,0.1421,0.058232,0.1421,233.137,-0.0696,
1.8879,0.0808,0.054836,0.0808,233.217,-0.0613,
1.8921,0.0294,0.049048,0.0294,233.247,-0.0514,
1.8072,-0.0208,0.051864,-0.0208,233.226,-0.0502,
1.6625,-0.0434,0.026072,-0.0434,233.183,-0.0226,
1.7329,-0.0518,0.012544,-0.0518,233.131,-0.0084,
1.0881,-0.0464,-0.001688,-0.0464,233.084,0.0054,
0.7499,-0.0283,-0.015836,-0.0283,233.056,0.0181,
0.3941,0.0012,-0.029596,0.0012,233.057,0.0295,
0.0404,0.0403,-0.042324,0.0403,233.098,0.0391,
-0.3036,0.0869,-0.053552,0.0869,233.184,0.0466,
-0.6218,0.1386,-0.062788,0.1386,233.323,0.0517,
-0.9025,0.193,-0.06984,0.193,233.516,0.0544,
-1.1334,0.2475,-0.0743,0.2475,233.764,0.0545,
-1.3097,0.2998,-0.076284,0.2998,234.063,0.0523,
-1.4212,0.3624,-0.091592,0.3624,234.426,0.0626,
-1.4708,0.4016,-0.071328,0.4016,234.827,0.0392,
-1.8535,0.4315,-0.06442,0.4315,235.259,0.0299,
-1.3469,0.4514,-0.056012,0.4514,235.71,0.0199,
-1.1742,0.4608,-0.046264,0.4608,236.171,0.0094,
-0.964,0.4599,-0.035892,0.4599,236.631,-0.0009,
-0.7203,0.4431,-0.018648,0.4431,237.074,-0.0168,
-0.461,0.4198,-0.010284,0.4198,237.494,-0.0233,
-0.0299,0.3887,4e-06,0.3887,237.883,-0.0311,
0.1792,0.3517,0.008864,0.3517,238.234,-0.037,
0.4364,0.2957,0.032344,0.2957,238.53,-0.056,
0.6579,0.2511,0.024512,0.2511,238.781,-0.0446,
1.2449,0.1931,0.042552,0.1931,238.974,-0.058,
1.0491,0.1531,0.027752,0.1531,239.127,-0.04,
1.5001,0.1082,0.036244,0.1082,239.235,-0.0449,
1.1301,0.0826,0.018992,0.0826,239.318,-0.0256,
1.3424,0.0652,0.012184,0.0652,239.383,-0.0174,
0.9111,0.0562,0.004504,0.0562,239.439,-0.009,
0.7409,0.0572,-0.005576,0.0572,239.497,0.001,
0.5489,0.0673,-0.015484,0.0673,239.564,0.0101,
0.2969,0.0846,-0.024068,0.0846,239.649,0.0173,
0.0492,0.108,-0.03204,0.108,239.757,0.0234,
-0.1654,0.1362,-0.039096,0.1362,239.893,0.0282,
-0.3647,0.1678,-0.045024,0.1678,240.061,0.0316,
-0.5411,0.2127,-0.061916,0.2127,240.273,0.0449,
-0.6893,0.2465,-0.05352,0.2465,240.52,0.0338,
-1.1116,0.2784,-0.054172,0.2784,240.798,0.0319,
-0.9017,0.3153,-0.062124,0.3153,241.113,0.0369,
-0.918,0.3505,-0.06324,0.3505,241.464,0.0352,
-1.1168,0.4807,-0.168656,0.4807,241.945,0.1302,
-1.1447,0.6928,-0.267524,0.6928,242.637,0.2121,
-3.7801,0.4019,0.258748,0.4019,243.039,-0.2909,
-6.2518,0.4066,-0.037228,0.4066,243.446,0.0047,
6.905,0.4047,-0.030476,0.4047,243.851,-0.0019,
-0.4944,0.4001,-0.027408,0.4001,244.251,-0.0046,
-0.3256,0.3897,-0.020776,0.3897,244.64,-0.0104,
-0.2489,0.3676,-0.007308,0.3676,245.008,-0.0221,
-0.0831,0.3458,-0.005864,0.3458,245.354,-0.0218,
0.2536,0.3207,-0.000556,0.3207,245.675,-0.0251,
0.2897,0.2935,0.00372,0.2935,245.968,-0.0272,
0.4224,0.2557,0.017344,0.2557,246.224,-0.0378,
0.5293,0.2184,0.019828,0.2184,246.442,-0.0373,
0.8699,0.1927,0.010284,0.1927,246.635,-0.0257,
0.932,0.1608,0.019036,0.1608,246.796,-0.0319,
0.6934,0.1411,0.008412,0.1411,246.937,-0.0197,
0.9122,0.1251,0.005992,0.1251,247.062,-0.016,
0.6466,0.12,-0.0045,0.12,247.182,-0.0051,
0.5861,0.1207,-0.010356,0.1207,247.303,0.0007,
0.3238,0.1836,-0.077588,0.1836,247.486,0.0629,
0.1774,0.2502,-0.086616,0.2502,247.736,0.0666,
-1.5034,0.387,-0.16776,0.387,248.123,0.1368,
-1.7291,0.5205,-0.17514,0.5205,248.644,0.1335,
-3.7577,0.6805,-0.21444,0.6805,249.324,0.16,
-3.9422,0.7791,-0.160928,0.7791,250.103,0.0986,
-4.9247,0.8522,-0.141276,0.8522,250.956,0.0731,
-3.5869,0.9058,-0.126064,0.9058,251.861,0.0536,
-3.0956,0.912,-0.07916,0.912,252.773,0.0062,
-2.7153,0.8891,-0.048228,0.8891,253.663,-0.0229,
-1.5427,0.8168,0.006956,0.8168,254.479,-0.0723,
-0.7694,0.7407,0.016844,0.7407,255.22,-0.0761,
0.6102,0.7308,-0.048564,0.7308,255.951,-0.0099,
0.8574,0.7678,-0.098424,0.7678,256.719,0.037,
-0.7778,0.7824,-0.077192,0.7824,257.501,0.0146,
-2.0243,0.7825,-0.0627,0.7825,258.284,0.0001,
-1.4935,0.7672,-0.046076,0.7672,259.051,-0.0153,
-1.1312,0.7244,-0.015152,0.7244,259.775,-0.0428,
-0.7156,0.6766,-0.006328,0.6766,260.452,-0.0478,
0.0575,0.5967,0.032164,0.5967,261.048,-0.0799,
0.2781,0.5273,0.027216,0.5273,261.576,-0.0694,
1.2404,0.4538,0.037196,0.4538,262.03,-0.0735,
1.1167,0.3791,0.044372,0.3791,262.409,-0.0747,
1.3662,0.3413,0.010496,0.3413,262.75,-0.0378,
1.5456,0.4677,-0.163816,0.4677,263.218,0.1264,
0.6987,0.5811,-0.159888,0.5811,263.799,0.1134,
-3.6591,0.6899,-0.163992,0.6899,264.489,0.1088,
-3.5609,0.7857,-0.158656,0.7857,265.274,0.0958,
-3.6635,0.9443,-0.234144,0.9443,266.219,0.1586,
-3.5301,1.2152,-0.368116,1.2152,267.434,0.2709,
-5.4173,1.53,-0.4372,1.53,268.964,0.3148,
-8.7666,1.8014,-0.415512,1.8014,270.765,0.2714,
-10.4937,2.0698,-0.433984,2.0698,272.835,0.2684,
